"filename", "language", "HTML", "CSS", "JavaScript", "Markdown", "JSON", "XML", "comment", "blank", "total"
"e:\Coding Projects\join\.VSCodeCounter\2024-09-13_20-00-02\details.md", "Markdown", 0, 0, 0, 89, 0, 0, 0, 6, 95
"e:\Coding Projects\join\.VSCodeCounter\2024-09-13_20-00-02\diff-details.md", "Markdown", 0, 0, 0, 78, 0, 0, 0, 6, 84
"e:\Coding Projects\join\.VSCodeCounter\2024-09-13_20-00-02\diff.md", "Markdown", 0, 0, 0, 34, 0, 0, 0, 7, 41
"e:\Coding Projects\join\.VSCodeCounter\2024-09-13_20-00-02\results.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 1
"e:\Coding Projects\join\.VSCodeCounter\2024-09-13_20-00-02\results.md", "Markdown", 0, 0, 0, 35, 0, 0, 0, 7, 42
"e:\Coding Projects\join\addtask.html", "HTML", 2, 0, 0, 0, 0, 0, 0, 0, 2
"e:\Coding Projects\join\assets\img\closedialogresp.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 1, 4
"e:\Coding Projects\join\assets\img\magnifier-hover.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 1, 4
"e:\Coding Projects\join\assets\img\magnifier.svg", "XML", 0, 0, 0, 0, 0, 2, 0, 1, 3
"e:\Coding Projects\join\assets\img\plus-add-task.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 5
"e:\Coding Projects\join\board.html", "HTML", 171, 0, 0, 0, 0, 0, -3, 7, 175
"e:\Coding Projects\join\contacts.html", "HTML", 11, 0, 0, 0, 0, 0, 0, 1, 12
"e:\Coding Projects\join\help.html", "HTML", -9, 0, 0, 0, 0, 0, 0, -13, -22
"e:\Coding Projects\join\legalnotice.html", "HTML", -31, 0, 0, 0, 0, 0, 0, -4, -35
"e:\Coding Projects\join\login.html", "HTML", 40, 0, 0, 0, 0, 0, 0, -3, 37
"e:\Coding Projects\join\menuguest.html", "HTML", 85, 0, 0, 0, 0, 0, 0, 1, 86
"e:\Coding Projects\join\privacypolicy.html", "HTML", 158, 0, 0, 0, 0, 0, 0, 1, 159
"e:\Coding Projects\join\scripts\addtask.js", "JavaScript", 0, 0, 24, 0, 0, 0, 7, 2, 33
"e:\Coding Projects\join\scripts\addtaskdialog.js", "JavaScript", 0, 0, 243, 0, 0, 0, 112, 54, 409
"e:\Coding Projects\join\scripts\board.js", "JavaScript", 0, 0, 68, 0, 0, 0, 23, 20, 111
"e:\Coding Projects\join\scripts\contacts-templates.js", "JavaScript", 0, 0, 14, 0, 0, 0, 6, 2, 22
"e:\Coding Projects\join\scripts\contacts.js", "JavaScript", 0, 0, 15, 0, 0, 0, 9, 10, 34
"e:\Coding Projects\join\scripts\login.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, -1, -1
"e:\Coding Projects\join\scripts\register.js", "JavaScript", 0, 0, 52, 0, 0, 0, 33, 0, 85
"e:\Coding Projects\join\scripts\script.js", "JavaScript", 0, 0, 42, 0, 0, 0, 45, 8, 95
"e:\Coding Projects\join\scripts\summary.js", "JavaScript", 0, 0, 62, 0, 0, 0, 61, 3, 126
"e:\Coding Projects\join\scripts\taskDetail.js", "JavaScript", 0, 0, -26, 0, 0, 0, 9, 1, -16
"e:\Coding Projects\join\scripts\taskUpdateDelete.js", "JavaScript", 0, 0, 202, 0, 0, 0, 78, 40, 320
"e:\Coding Projects\join\scripts\templates.js", "JavaScript", 0, 0, 148, 0, 0, 0, 0, 20, 168
"e:\Coding Projects\join\scripts\usercontact.js", "JavaScript", 0, 0, 41, 0, 0, 0, 15, 8, 64
"e:\Coding Projects\join\signup.html", "HTML", 59, 0, 0, 0, 0, 0, 0, -4, 55
"e:\Coding Projects\join\styles\addtask.css", "CSS", 0, 97, 0, 0, 0, 0, 0, -44, 53
"e:\Coding Projects\join\styles\board.css", "CSS", 0, 703, 0, 0, 0, 0, -5, 195, 893
"e:\Coding Projects\join\styles\contacts.css", "CSS", 0, 351, 0, 0, 0, 0, -1, 99, 449
"e:\Coding Projects\join\styles\fonts.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Coding Projects\join\styles\help.css", "CSS", 0, 66, 0, 0, 0, 0, 0, 18, 84
"e:\Coding Projects\join\styles\menu.css", "CSS", 0, 9, 0, 0, 0, 0, 0, 5, 14
"e:\Coding Projects\join\styles\privacy-and-legal.css", "CSS", 0, 24, 0, 0, 0, 0, 0, 4, 28
"e:\Coding Projects\join\styles\register.css", "CSS", 0, 115, 0, 0, 0, 0, 0, 18, 133
"e:\Coding Projects\join\styles\summary.css", "CSS", 0, 170, 0, 0, 0, 0, 1, 32, 203
"e:\Coding Projects\join\styles\taskDetail.css", "CSS", 0, 11, 0, 0, 0, 0, 0, 2, 13
"e:\Coding Projects\join\summary.html", "HTML", 38, 0, 0, 0, 0, 0, 0, -7, 31
"e:\Coding Projects\join\summaryguest.html", "HTML", 40, 0, 0, 0, 0, 0, 0, -5, 35
"Total", "-", 564, 1546, 885, 236, 1, 13, 390, 500, 4135
