"filename", "language", "HTML", "Batch", "CSS", "JavaScript", "Markdown", "JSON", "XML", "comment", "blank", "total"
"e:\Coding Projects\join\.VSCodeCounter\2024-09-13_19-39-30\details.md", "Markdown", 0, 0, 0, 0, 79, 0, 0, 0, 6, 85
"e:\Coding Projects\join\.VSCodeCounter\2024-09-13_19-39-30\diff-details.md", "Markdown", 0, 0, 0, 0, 9, 0, 0, 0, 6, 15
"e:\Coding Projects\join\.VSCodeCounter\2024-09-13_19-39-30\diff.md", "Markdown", 0, 0, 0, 0, 12, 0, 0, 0, 7, 19
"e:\Coding Projects\join\.VSCodeCounter\2024-09-13_19-39-30\results.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"e:\Coding Projects\join\.VSCodeCounter\2024-09-13_19-39-30\results.md", "Markdown", 0, 0, 0, 0, 30, 0, 0, 0, 7, 37
"e:\Coding Projects\join\.VSCodeCounter\2024-09-13_19-41-15\details.md", "Markdown", 0, 0, 0, 0, 20, 0, 0, 0, 6, 26
"e:\Coding Projects\join\.VSCodeCounter\2024-09-13_19-41-15\diff-details.md", "Markdown", 0, 0, 0, 0, 68, 0, 0, 0, 6, 74
"e:\Coding Projects\join\.VSCodeCounter\2024-09-13_19-41-15\diff.md", "Markdown", 0, 0, 0, 0, 30, 0, 0, 0, 7, 37
"e:\Coding Projects\join\.VSCodeCounter\2024-09-13_19-41-15\results.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"e:\Coding Projects\join\.VSCodeCounter\2024-09-13_19-41-15\results.md", "Markdown", 0, 0, 0, 0, 14, 0, 0, 0, 7, 21
"e:\Coding Projects\join\.VSCodeCounter\2024-09-13_20-00-02\details.md", "Markdown", 0, 0, 0, 0, 89, 0, 0, 0, 6, 95
"e:\Coding Projects\join\.VSCodeCounter\2024-09-13_20-00-02\diff-details.md", "Markdown", 0, 0, 0, 0, 78, 0, 0, 0, 6, 84
